,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,DisbursementGross,Franchise,SBA_proportion,Default
61,300,2,1,0,0,0,1,1,190750,0,42.9,0
62,84,7,1,2,7,1,0,1,100000,0,33.300000000000004,0
63,84,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
64,84,5,1,0,0,1,0,1,25528,0,33.300000000000004,0
65,84,4,2,0,0,1,0,1,8000,0,33.300000000000004,0
66,84,5,1,0,0,1,0,1,165503,0,33.300000000000004,0
67,84,1,1,0,0,1,0,1,12627,0,33.300000000000004,0
68,84,3,1,0,0,1,0,1,25000,0,33.300000000000004,0
69,84,2,2,0,0,1,0,1,19500,0,33.300000000000004,0
70,21,5,1,0,0,1,1,1,50000,0,33.300000000000004,1
71,84,3,1,0,0,0,1,1,54000,0,44.4,0
72,240,25,1,12,13,0,1,1,285000,0,50.0,0
73,4,1,1,0,1,2,0,1,72724,0,33.300000000000004,1
74,42,1,1,0,0,1,1,1,35000,0,33.300000000000004,1
75,84,2,1,0,0,2,0,1,45446,0,33.300000000000004,0
76,84,5,1,0,0,1,1,1,50000,0,33.300000000000004,0
77,84,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
78,84,2,1,0,0,1,1,1,25748,0,33.300000000000004,0
79,84,1,1,0,0,2,0,1,18600,0,33.300000000000004,0
80,84,3,1,0,0,1,0,1,40000,0,33.300000000000004,0
81,84,1,1,0,0,1,1,1,25000,0,33.300000000000004,0
82,84,1,1,0,0,1,0,1,44060,0,33.300000000000004,1
83,84,1,1,0,0,1,0,1,27020,0,33.300000000000004,0
84,84,8,2,0,0,1,0,1,66353,0,33.300000000000004,0
85,84,3,2,0,0,2,0,1,11877,0,33.300000000000004,0
86,84,1,1,0,0,1,0,1,27635,0,33.300000000000004,0
87,7,2,2,0,0,1,0,1,12804,0,33.300000000000004,1
88,84,4,1,0,0,2,0,1,287039,0,33.300000000000004,0
89,84,2,1,0,0,1,0,1,50000,0,33.300000000000004,0
90,74,4,1,0,0,1,1,1,40000,0,33.300000000000004,1
91,19,10,1,0,0,1,0,1,195478,0,33.300000000000004,1
92,9,4,1,0,0,1,0,1,59147,0,33.300000000000004,1
93,84,50,1,0,0,1,0,1,50484,0,33.300000000000004,0
94,84,1,1,0,0,1,0,1,50000,0,33.300000000000004,0
95,84,2,2,0,0,1,0,1,5000,0,33.300000000000004,0
96,34,1,2,0,0,1,0,1,10000,0,33.300000000000004,1
97,40,2,1,0,0,2,0,1,100000,0,33.300000000000004,1
98,84,40,1,0,0,1,0,1,25000,0,33.300000000000004,0
99,84,1,1,0,0,1,0,1,40000,0,33.300000000000004,0
100,38,4,1,0,0,1,0,1,50000,0,33.300000000000004,1
101,19,3,1,0,0,1,0,1,89229,0,33.300000000000004,1
102,12,8,1,0,0,2,0,1,59197,0,33.300000000000004,1
103,84,2,1,0,0,1,1,1,50000,0,33.300000000000004,0
104,34,1,1,0,0,1,1,1,10000,0,33.300000000000004,0
105,84,3,1,0,0,1,1,1,50000,0,33.300000000000004,0
106,84,4,1,0,0,1,1,1,50000,0,33.300000000000004,0
107,31,4,1,0,0,1,1,1,50000,0,33.300000000000004,1
108,84,4,1,0,0,1,0,1,49100,0,33.300000000000004,0
109,84,23,1,0,0,1,0,1,78000,0,33.300000000000004,0
110,84,2,1,0,0,1,1,1,25000,0,33.300000000000004,0
111,30,1,1,0,0,1,1,1,44600,0,33.300000000000004,1
112,47,1,1,0,0,1,0,1,45000,0,33.300000000000004,1
113,84,3,2,0,0,2,0,1,10000,0,33.300000000000004,0
114,84,1,1,0,0,1,1,1,14000,0,33.300000000000004,0
115,84,2,1,0,0,1,0,1,124421,0,33.300000000000004,0
116,84,3,1,0,0,1,0,1,50000,0,33.300000000000004,0
117,30,1,1,0,0,1,1,1,26400,0,33.300000000000004,1
118,84,9,1,0,0,0,1,0,65000,0,44.4,0
119,84,4,2,0,0,1,0,1,10000,0,33.300000000000004,0
120,120,4,1,0,0,0,1,0,76545,0,44.4,0
121,84,3,1,0,0,1,0,1,142000,0,33.300000000000004,0
122,84,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
123,84,1,1,0,0,1,1,1,39948,0,33.300000000000004,0
124,60,4,1,0,0,1,1,1,35000,0,33.300000000000004,0
125,60,6,1,0,0,1,1,1,5500,0,33.300000000000004,0
126,84,27,1,0,0,1,0,1,79598,0,33.300000000000004,0
127,84,2,1,0,0,1,0,1,50000,0,33.300000000000004,0
128,11,14,1,0,0,1,1,1,25000,0,33.300000000000004,1
129,84,3,1,0,0,0,1,0,52000,0,44.4,0
130,84,1,2,0,0,1,0,1,14124,0,33.300000000000004,0
131,84,1,1,0,0,1,1,1,15000,0,33.300000000000004,0
132,7,2,2,0,0,1,0,1,11315,0,33.300000000000004,0
133,84,2,1,0,0,1,0,1,39212,0,33.300000000000004,0
134,84,1,1,0,0,1,0,1,6500,0,33.300000000000004,0
135,84,3,1,0,0,2,0,1,66300,0,33.300000000000004,0
136,30,6,1,0,0,1,1,1,100000,0,33.300000000000004,1
137,84,25,1,0,0,2,0,1,130864,0,33.300000000000004,0
138,84,2,1,0,0,1,0,1,20500,0,33.300000000000004,0
139,84,4,1,0,0,1,1,1,70000,0,33.300000000000004,0
140,36,1,2,0,0,1,1,1,10000,0,33.300000000000004,0
141,84,1,1,0,0,1,0,1,10000,0,33.300000000000004,0
142,40,4,1,0,0,1,0,1,202625,0,33.300000000000004,0
143,12,3,1,0,0,1,0,1,68328,0,33.300000000000004,1
144,84,5,1,0,0,1,0,1,169000,0,33.300000000000004,0
145,84,3,1,0,0,1,0,1,10000,0,33.300000000000004,0
146,84,2,1,0,0,1,1,1,125000,0,33.300000000000004,0
147,84,14,2,0,0,1,0,1,10000,0,33.300000000000004,0
148,84,1,1,0,0,1,0,1,13276,0,33.300000000000004,0
149,62,51,1,0,0,2,1,1,50000,0,33.300000000000004,1
150,67,4,1,0,0,1,0,1,46000,0,33.300000000000004,1
151,84,1,1,0,0,1,0,1,11807,0,33.300000000000004,0
152,7,7,1,0,0,1,1,1,144000,0,33.300000000000004,1
153,60,4,1,0,0,1,0,1,60000,0,33.300000000000004,0
154,84,5,1,0,0,1,1,1,50000,0,33.300000000000004,0
155,84,3,2,0,0,1,1,1,35000,0,33.300000000000004,0
156,84,11,2,0,0,1,0,1,10000,0,33.300000000000004,0
157,84,1,1,0,0,1,0,1,13596,0,33.300000000000004,0
158,84,1,2,0,0,1,0,1,10000,0,33.300000000000004,0
159,84,13,1,0,0,2,0,1,134363,0,33.300000000000004,0
160,84,1,2,0,0,1,0,1,27500,0,33.300000000000004,0
161,84,1,2,0,0,2,0,1,49400,0,33.300000000000004,0
162,84,5,2,0,0,1,0,1,221786,0,33.300000000000004,0
163,84,6,1,0,0,1,0,1,23500,0,33.300000000000004,0
164,84,1,1,0,0,1,0,1,12000,0,33.300000000000004,0
165,8,5,1,0,0,1,1,1,50000,0,33.300000000000004,1
166,84,2,1,0,0,1,0,1,35000,0,33.300000000000004,0
167,84,5,1,0,0,1,0,1,104000,0,33.300000000000004,0
168,84,1,2,0,0,1,0,1,55285,0,33.300000000000004,0
169,84,2,1,0,0,1,0,1,13124,0,33.300000000000004,0
170,84,2,2,0,0,1,1,1,50000,0,33.300000000000004,0
171,84,9,1,0,0,1,0,1,62410,0,33.300000000000004,0
172,84,2,1,0,0,1,0,1,45000,0,33.300000000000004,0
173,300,12,1,0,0,0,1,1,281250,0,42.9,0
174,36,2,1,0,0,1,1,1,70000,0,33.300000000000004,1
175,20,5,1,0,0,1,0,1,64385,0,33.300000000000004,1
176,65,3,1,0,0,1,1,1,50000,0,33.300000000000004,1
177,17,15,2,0,0,2,1,1,50000,0,46.9,1
178,10,2,1,0,0,1,0,1,165990,0,33.300000000000004,1
179,84,3,2,0,0,1,0,1,15000,0,33.300000000000004,0
180,84,2,1,0,0,1,0,1,47665,0,33.300000000000004,0
181,288,22,1,0,0,0,1,1,366500,0,42.9,0
182,84,2,1,0,0,1,0,1,60000,0,33.300000000000004,0
183,84,5,1,0,0,1,0,1,135000,0,33.300000000000004,0
184,11,6,1,0,0,1,0,1,58414,0,33.300000000000004,1
185,84,2,2,0,0,1,0,1,40000,0,33.300000000000004,0
186,84,8,1,0,0,1,0,1,119971,0,33.300000000000004,0
187,84,2,1,0,0,1,0,1,50000,0,33.300000000000004,0
188,84,3,2,0,0,2,0,1,25300,0,33.300000000000004,0
189,29,18,1,0,18,1,0,1,72433,0,33.300000000000004,1
190,46,11,1,0,0,1,1,1,25000,0,33.300000000000004,1
191,84,1,2,0,0,2,0,1,10000,0,33.300000000000004,0
192,25,1,1,0,0,1,0,1,66251,0,33.300000000000004,1
193,2,4,1,0,0,1,0,1,63335,0,33.300000000000004,1
194,9,3,1,0,0,1,0,1,113080,0,33.300000000000004,1
195,84,7,1,0,0,1,0,1,80000,0,33.300000000000004,0
196,84,7,2,0,0,2,0,1,10000,0,33.300000000000004,0
197,12,3,1,0,0,1,0,1,29077,0,33.300000000000004,1
198,84,1,2,0,0,1,0,1,10073,0,33.300000000000004,0
199,84,2,1,0,0,1,0,1,10000,0,33.300000000000004,0
200,84,8,1,0,0,1,0,1,66000,0,33.300000000000004,0
201,84,1,1,0,0,1,1,1,35000,0,33.300000000000004,0
202,69,14,1,0,0,1,0,1,30000,0,33.300000000000004,1
203,84,1,1,0,0,2,1,1,35000,0,33.300000000000004,0
204,84,2,2,0,0,1,0,1,33840,0,33.300000000000004,0
205,84,3,1,0,0,1,0,1,69500,0,33.300000000000004,0
206,84,1,2,0,0,1,0,1,20000,0,33.300000000000004,0
207,85,7,1,0,0,0,1,1,207000,0,42.9,0
208,84,4,1,0,0,1,0,1,113000,0,33.300000000000004,0
209,84,12,1,0,0,1,0,1,75000,0,33.300000000000004,0
210,84,1,1,0,0,1,0,1,50000,0,33.300000000000004,0
211,36,35,1,0,0,0,1,1,100000,0,42.9,0
212,90,1,1,0,0,1,1,1,50000,0,33.300000000000004,0
213,84,2,1,0,0,1,0,1,25000,0,33.300000000000004,0
214,39,3,1,0,0,1,1,1,50000,0,33.300000000000004,1
215,82,6,1,0,6,1,0,1,31838,0,33.300000000000004,0
216,84,5,1,0,0,1,1,1,50000,0,33.300000000000004,0
217,240,3,1,0,0,0,1,1,127000,0,42.9,0
218,84,2,1,0,0,1,0,1,62305,0,33.300000000000004,0
219,84,2,1,0,0,1,0,1,140000,0,33.300000000000004,0
220,46,10,2,0,10,1,0,1,179238,0,33.300000000000004,0
221,50,3,1,2,5,1,0,1,108030,0,33.300000000000004,1
222,300,23,1,0,0,0,1,1,1000000,0,42.9,0
223,5,18,2,0,18,2,0,1,80000,0,33.300000000000004,1
224,84,1,2,0,1,1,0,1,13315,0,33.300000000000004,0
225,84,5,1,0,0,0,1,0,20000,0,44.4,0
226,84,1,1,0,1,1,0,1,10000,0,33.300000000000004,0
227,84,1,1,0,1,1,0,1,25200,0,33.300000000000004,0
228,84,1,1,0,1,2,0,1,12122,0,33.300000000000004,0
229,84,2,1,0,2,2,0,1,10053,0,33.300000000000004,0
230,300,4,1,0,0,0,1,1,240000,0,42.9,0
231,240,14,1,2,14,0,1,1,163000,0,50.0,0
232,8,4,1,0,4,1,0,1,49563,0,33.300000000000004,1
233,84,3,1,0,3,1,0,1,60000,0,33.300000000000004,0
234,84,5,2,0,5,2,0,1,14500,0,33.300000000000004,0
235,84,2,1,0,2,2,0,1,100000,0,33.300000000000004,0
236,84,16,1,0,16,1,0,1,69223,0,33.300000000000004,0
237,84,1,1,0,1,1,0,1,40000,0,33.300000000000004,0
238,84,9,1,0,9,1,0,1,60000,0,33.300000000000004,0
239,55,1,1,0,1,1,0,1,46000,0,33.300000000000004,1
240,84,12,1,0,12,1,1,1,85000,0,33.300000000000004,0
241,17,1,1,0,1,1,0,1,18527,0,33.300000000000004,1
242,120,3,1,0,0,0,1,1,140000,0,42.9,0
243,0,2,1,0,2,1,1,1,60000,0,33.300000000000004,1
244,84,1,2,0,1,1,0,1,10000,0,33.300000000000004,0
245,34,3,1,0,3,1,1,1,10000,0,33.300000000000004,0
246,84,13,1,0,13,1,0,1,100000,0,33.300000000000004,0
247,10,2,1,0,0,0,1,1,300000,0,47.4,0
248,84,7,1,0,7,1,0,1,44634,0,33.300000000000004,0
249,84,1,1,0,1,1,1,1,10000,0,33.300000000000004,0
250,35,3,1,1,3,1,0,1,55790,0,33.300000000000004,1
251,84,23,1,0,23,1,0,1,100000,0,33.300000000000004,0
252,84,2,1,1,2,1,0,1,39113,0,33.300000000000004,0
253,84,1,1,0,1,1,0,1,10000,0,33.300000000000004,0
254,84,4,1,0,4,1,0,1,119191,0,33.300000000000004,0
255,12,3,2,0,0,0,0,1,50000,0,33.300000000000004,0
256,84,2,1,1,2,1,1,1,75000,0,33.300000000000004,0
257,84,5,1,0,5,1,0,1,103599,0,33.300000000000004,0
258,84,2,1,2,2,1,1,1,50000,0,33.300000000000004,0
259,44,1,1,0,1,1,0,1,50000,0,33.300000000000004,1
260,84,5,2,0,5,1,0,1,13340,0,33.300000000000004,0
261,54,6,1,1,6,1,0,1,70800,0,33.300000000000004,1
262,84,21,1,3,21,1,0,1,208991,0,33.300000000000004,0
263,55,5,1,1,5,1,0,1,90400,0,33.300000000000004,1
264,37,1,2,0,1,1,0,1,18168,0,33.300000000000004,1
265,84,8,1,1,8,1,1,1,50000,0,33.300000000000004,0
266,84,2,1,0,2,1,0,1,40003,0,33.300000000000004,0
267,84,5,1,0,5,1,1,1,15002,0,33.300000000000004,0
268,22,9,1,1,9,1,1,1,117000,0,45.9,0
269,39,1,1,0,1,1,0,1,50000,0,33.300000000000004,1
270,60,2,1,0,2,1,1,1,44000,0,33.300000000000004,0
271,240,15,1,9,15,0,1,1,309000,0,50.0,0
272,84,11,1,3,11,1,0,1,127310,0,33.300000000000004,0
273,28,10,1,0,10,1,0,1,325433,0,33.300000000000004,1
274,90,6,1,1,6,1,1,1,50000,0,33.300000000000004,0
275,84,6,1,6,6,1,1,1,50000,0,33.300000000000004,0
276,84,5,1,0,5,1,0,1,110908,0,33.300000000000004,0
277,84,3,2,0,3,1,0,1,23466,0,33.300000000000004,0
278,84,9,1,2,9,1,0,1,115428,0,33.300000000000004,0
279,84,1,1,2,1,1,0,1,61477,0,33.300000000000004,0
280,6,5,1,1,5,1,1,1,50000,0,33.300000000000004,0
281,300,2,2,0,0,0,1,0,93500,0,44.4,0
282,84,4,2,0,4,2,0,1,12347,0,33.300000000000004,0
283,84,2,1,0,2,1,1,1,50000,0,33.300000000000004,0
284,84,1,1,0,1,1,0,1,68382,0,33.300000000000004,0
285,84,8,1,0,8,1,0,1,142477,0,33.300000000000004,0
286,84,3,1,0,3,1,0,1,62537,0,33.300000000000004,0
287,84,2,1,0,2,1,0,1,71000,0,33.300000000000004,0
288,84,6,1,4,6,1,0,1,154202,0,33.300000000000004,0
289,84,4,1,0,4,1,0,1,85000,0,33.300000000000004,0
290,84,3,1,2,3,1,1,1,25000,0,33.300000000000004,0
291,84,2,1,1,2,1,0,1,75200,0,33.300000000000004,0
292,11,1,1,0,1,1,1,1,35000,0,33.300000000000004,1
293,47,2,1,0,2,1,0,1,90000,0,33.300000000000004,1
294,84,5,1,0,5,1,0,1,71286,0,33.300000000000004,0
295,39,5,1,0,5,1,0,1,90206,0,33.300000000000004,1
296,44,5,1,1,5,1,1,1,100000,0,33.300000000000004,1
297,60,1,2,1,1,1,1,1,8000,0,33.300000000000004,0
298,84,8,1,2,8,1,1,1,50000,0,33.300000000000004,0
299,50,5,1,0,5,1,0,1,50000,0,33.300000000000004,1
300,84,10,1,2,10,1,0,1,16049,0,33.300000000000004,0
301,108,5,1,0,5,1,1,1,75000,0,33.300000000000004,0
302,84,1,2,0,1,1,0,1,13400,0,33.300000000000004,0
303,90,5,1,0,5,1,1,1,75000,0,33.300000000000004,0
304,84,1,1,0,1,1,0,1,145000,0,33.300000000000004,0
305,155,22,1,2,22,1,1,1,1825000,0,42.9,1
306,252,7,1,3,7,1,1,1,1000000,0,42.9,0
307,84,30,1,0,30,1,0,1,92136,0,33.300000000000004,0
308,84,5,1,0,5,1,0,1,30000,0,33.300000000000004,0
309,90,1,1,0,1,1,1,1,35000,0,33.300000000000004,0
310,84,3,1,0,3,1,1,1,50000,0,33.300000000000004,0
311,84,8,1,0,8,1,0,1,95953,0,33.300000000000004,0
312,84,1,2,0,1,1,1,1,10000,0,33.300000000000004,0
313,10,6,1,0,6,1,0,1,123552,0,33.300000000000004,1
314,49,5,1,0,5,1,1,1,50000,0,33.300000000000004,1
315,28,1,1,1,1,1,0,1,96454,0,33.300000000000004,1
316,84,3,2,0,3,2,0,1,14900,0,33.300000000000004,0
317,16,1,1,0,1,1,0,1,13564,0,33.300000000000004,0
318,19,5,1,0,5,1,1,1,29750,0,33.300000000000004,1
319,84,1,1,2,1,1,0,1,16465,0,33.300000000000004,0
320,84,3,1,1,3,1,0,1,44688,0,33.300000000000004,0
321,84,1,1,0,1,1,0,1,28000,0,33.300000000000004,0
322,84,3,1,1,3,1,1,1,30000,0,33.300000000000004,0
323,41,1,1,1,1,1,0,1,38000,0,33.300000000000004,1
324,276,5,2,0,0,0,1,1,576100,0,42.9,0
325,32,5,1,0,0,2,0,1,56712,0,33.300000000000004,1
326,84,2,1,0,2,1,0,1,21462,0,33.300000000000004,0
327,84,1,1,0,1,1,0,1,18561,0,33.300000000000004,0
328,25,3,1,0,3,1,0,1,95488,0,33.300000000000004,1
329,84,8,1,7,8,1,0,1,298000,0,33.300000000000004,0
330,84,4,1,1,4,1,0,1,75000,0,33.300000000000004,0
331,84,5,1,0,5,1,1,1,35000,0,33.300000000000004,0
332,36,1,2,0,1,1,0,1,10000,0,33.300000000000004,1
333,84,1,1,0,1,1,0,1,59500,0,33.300000000000004,0
334,84,6,1,0,6,2,0,1,34700,0,33.300000000000004,0
335,60,8,1,4,8,1,0,1,336804,0,33.300000000000004,0
336,84,10,1,0,10,1,1,1,25000,0,33.300000000000004,0
337,230,9,1,0,0,0,1,1,395000,0,42.9,0
338,26,2,2,0,2,1,0,1,51610,0,33.300000000000004,1
339,63,6,1,2,6,1,0,1,6700,0,33.300000000000004,1
340,84,1,1,2,1,1,0,1,20759,0,33.300000000000004,0
341,84,7,1,0,7,1,0,1,135269,0,33.300000000000004,0
342,84,1,1,2,1,2,0,1,15000,0,33.300000000000004,0
343,84,4,1,0,4,1,1,1,109000,0,33.300000000000004,0
344,12,1,1,0,1,1,1,1,7500,0,33.300000000000004,1
345,47,6,1,2,6,1,1,1,50000,0,33.300000000000004,1
346,7,2,1,1,2,1,1,1,50000,0,33.300000000000004,0
347,65,3,1,0,3,1,1,1,50000,0,33.300000000000004,1
348,84,5,2,3,5,1,0,1,111974,0,33.300000000000004,0
349,84,5,2,3,5,1,1,1,50000,0,33.300000000000004,0
350,76,3,1,1,3,2,0,1,30000,0,33.300000000000004,1
351,47,1,1,1,1,1,0,1,81808,0,33.300000000000004,1
352,84,1,1,1,1,1,0,1,19545,0,33.300000000000004,0
353,84,6,1,0,6,1,1,1,25000,0,33.300000000000004,0
354,84,1,1,2,1,1,1,1,10000,0,33.300000000000004,0
355,84,5,1,1,5,1,0,1,52816,0,33.300000000000004,0
356,6,14,1,0,14,1,0,1,67293,0,33.300000000000004,1
357,84,4,1,0,4,1,0,1,63769,0,33.300000000000004,0
358,7,1,1,2,1,1,0,1,28192,0,33.300000000000004,1
359,84,1,1,1,1,1,1,1,25000,0,33.300000000000004,0
360,84,1,1,0,1,1,0,1,35000,0,33.300000000000004,0
361,84,15,1,0,15,1,0,1,50000,0,33.300000000000004,0
362,84,4,1,3,4,1,0,1,63731,0,33.300000000000004,0
363,84,1,1,0,1,1,0,1,9858,0,33.300000000000004,0
364,5,2,2,0,2,1,0,1,14634,0,33.300000000000004,1
365,15,2,1,5,2,1,0,1,388789,0,33.300000000000004,1
366,64,3,1,1,3,1,0,1,28700,0,33.300000000000004,1
367,87,2,2,0,0,0,1,1,100000,0,44.4,0
368,2,2,1,4,2,1,1,1,100000,0,33.300000000000004,1
369,26,4,1,2,4,1,1,1,100000,0,33.300000000000004,1
370,84,1,1,0,1,1,0,1,31670,0,33.300000000000004,0
371,84,1,1,0,1,1,0,1,20000,0,33.300000000000004,0
372,84,1,1,2,1,1,0,1,59961,0,33.300000000000004,0
373,56,4,1,0,4,1,1,1,50000,0,33.300000000000004,1
374,84,6,1,1,6,1,1,1,25000,0,33.300000000000004,0
375,84,5,1,0,5,1,0,1,64500,0,33.300000000000004,0
376,63,3,1,0,3,1,0,1,39650,0,33.300000000000004,1
377,58,8,1,1,8,1,0,1,113850,0,33.300000000000004,1
378,84,2,2,0,2,1,0,1,67768,0,33.300000000000004,0
379,84,5,1,2,5,1,0,1,50050,0,33.300000000000004,0
380,84,6,1,0,6,2,0,1,95000,0,33.300000000000004,0
381,24,15,1,1,15,2,0,1,106314,0,33.300000000000004,1
382,84,7,1,0,0,1,0,1,69437,0,33.300000000000004,0
383,60,3,1,0,3,1,0,1,30000,0,33.300000000000004,0
384,84,9,1,0,9,1,0,1,41271,0,33.300000000000004,0
385,57,2,1,0,2,1,0,1,10812,0,33.300000000000004,1
386,84,6,1,0,6,1,0,1,50000,0,33.300000000000004,0
387,84,25,1,0,25,1,0,1,176705,0,33.300000000000004,0
388,84,2,1,2,2,1,0,1,87911,0,33.300000000000004,0
389,84,1,2,0,1,1,0,1,10000,0,33.300000000000004,0
390,84,9,1,2,9,1,0,1,81100,0,33.300000000000004,0
391,84,3,2,0,3,1,0,1,16967,0,33.300000000000004,0
392,54,1,1,0,1,1,0,1,15000,0,33.300000000000004,1
393,84,3,1,0,3,1,1,1,58000,0,33.300000000000004,0
394,84,5,1,1,5,1,1,1,30000,0,33.300000000000004,0
395,84,2,1,0,2,1,0,1,17000,0,33.300000000000004,0
396,84,3,1,0,3,1,0,1,89800,0,33.300000000000004,0
397,84,1,1,0,1,1,0,1,9155,0,33.300000000000004,0
398,120,17,1,0,0,0,1,1,200000,0,42.9,0
399,25,1,1,3,1,1,0,1,74850,0,33.300000000000004,1
400,84,1,1,0,1,1,0,1,13449,0,33.300000000000004,0
401,29,5,1,0,5,1,0,1,47500,0,33.300000000000004,1
402,84,1,1,1,1,1,0,1,63815,0,33.300000000000004,0
403,84,2,1,0,2,1,0,1,30905,0,33.300000000000004,0
404,39,1,2,0,1,1,1,1,54952,0,33.300000000000004,1
405,37,2,1,1,2,1,1,1,50000,0,33.300000000000004,1
406,84,1,2,0,1,1,0,1,16622,0,33.300000000000004,0
407,84,1,1,0,1,1,0,1,29035,0,33.300000000000004,0
408,84,5,1,1,5,1,0,1,221600,0,33.300000000000004,0
409,60,1,2,0,1,1,1,1,10000,0,33.300000000000004,0
410,84,2,2,0,2,1,0,1,11931,0,33.300000000000004,0
411,38,10,1,0,10,1,1,1,103600,0,33.300000000000004,1
412,84,1,1,5,1,1,1,1,81500,0,33.300000000000004,0
413,55,4,2,0,4,1,0,1,10000,0,33.300000000000004,1
414,32,6,1,1,6,1,1,1,15000,0,33.300000000000004,1
415,84,2,1,0,2,1,1,1,75000,0,33.300000000000004,0
416,84,17,1,0,17,1,0,1,431000,0,33.300000000000004,0
417,84,11,1,1,11,1,0,1,250000,0,33.300000000000004,0
418,32,1,1,0,1,1,1,1,28815,0,33.300000000000004,1
419,16,1,1,0,1,1,0,1,97905,0,33.300000000000004,1
420,84,3,1,0,3,1,0,1,12000,0,33.300000000000004,0
421,84,5,2,0,5,1,0,1,29200,0,33.300000000000004,0
422,84,9,1,0,9,1,1,1,50000,0,33.300000000000004,0
